"0740 Berlin Syr. 26",NULL,,,"740 AD",,,"Berlin, Preussische Staatsbibliothek"
,NULL,,,,,,
"1055 Damascus Patr. 12/8",NULL,,,"1055 CE",,,
"1031 Damascus Patr. 12/13",NULL,,,"1031 CE",,,
"1041 Damascus Patr. 12/21",NULL,,,"1041 CE ",," ",
"0994 Damascus Patr. 12/9",NULL,,,"994 CE",,,
"0742 Deir al-Surian 5",NULL,,,"742 CE",,,
"0510 Deir al-Surian 10",NULL,,,"510 CE ",," ",
"0957 Deir al-Surian 22",NULL,,,"957 CE ",," ",
"0874 Deir al-Surian 28",NULL,,,"874 CE ",," ",
"0903 Deir al-Surian 30",NULL,,,"903 CE ",," ",
"0887 Deir al-Surian 37",NULL,,,"887 CE ",," ",
"0756 Florence I.40",NULL,,,"756 CE ",," ",
"0568 Florence I.56",NULL,,,"568 CE ",," ",
"0917 Sinai M3N",NULL,,,"917 CE ",," ",
"1057 Sinai M5N",NULL,,,"1057 CE ",," ",
"0933 Sinai M15N",NULL,,,"933 CE ",," ",
"0758 Sinai M22N",NULL,,,"758 CE ",," ",
"0543 Sinai M27N",NULL,,,"543 CE ",," ",
"0569 Sinai M51N",NULL,,,"before 569 CE",,,
"0837 Sinai M45N",NULL,,,"837 CE ",," ",
"0933 Sinai M56N",NULL,,,"933 CE ",," ",
"0779 Sinai Syr. 30",NULL,,,"779 CE ",," ",
"0534 Sinai Syr. 46",NULL,,,"534 CE ",," ",
"0462 St Petersburg NS 1",NULL,,,"462 CE ",," ",
"0981 St Petersburg NS 23",NULL,,,"981 CE ",," ",
"0956 Vat. Syr. 14",NULL,,,"956 CE ",," ",
"1003 Vat. Syr. 94",NULL,,,"1003 CE ",," ",
"0979 Vat. Syr. 152",NULL,,,"979 CE ",," ",
"0859 Vat. Syr. 268",NULL,,,"859 CE ",," ",
"0928 Vat. Syr. 1",NULL,,,"928 CE ",," ",
"0883 BL Add. 18819",NULL,,,"883",,,
"0817 BL Add. 14593",NULL,,,"817 ",," ",
"0831 BL Or. 8731",NULL,,," 831",," ",
"0774 BL Add. 17170",NULL,,," 774",," ",
"0587? BL Add. 12158",NULL,,,"587? ",," ",
"0806 St. Marks 7",NULL,,,"806 ",," ",
